Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,Frequency,gaze_box,gaze_box_object,Preview,preview,preview,question_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1134155,1,1,block_1,1,wait,1,"","","",1,"","","","","","","","","","","","","",""
1134155,1,36,block_1,1,sentence,3,"","","",2,"","",low,"","","","","",1,1724330010354,1,"",1724330006510,""
1134155,2,32,block_1,1,sentence,3,"","","",2,"","",low,"","","","","",0,1724330018114,2,"",1724330014321,""
1134155,3,25,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",1,1724330026442,3,"",1724330021817,""
1134155,4,21,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",0,1724330033930,4,"",1724330028993,""
1134155,5,5,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",0,1724330042050,5,"",1724330038659,""
1134155,6,33,block_1,1,sentence,3,"","","",2,"","",low,"","","","","",1,1724330070058,6,"",1724330065454,""
1134155,7,24,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",0,1724330076802,7,"",1724330073137,""
1134155,8,42,block_1,1,sentence,3,"","","",2,"","",low,"","","","","",1,1724330083754,8,"",1724330080228,""
1134155,9,16,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",1,1724330090698,9,"",1724330086712,""
1134155,10,54,block_1,1,sentence,3,"","","",2,"","",low,"","","","","",0,1724330098450,10,"",1724330094446,""
1134155,11,28,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",0,1724330125794,11,"",1724330121469,""
1134155,12,2,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",0,1724330132442,12,"",1724330128675,""
1134155,13,20,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",1,1724330138994,13,"",1724330135626,""
1134155,14,18,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",1,1724330148626,14,"",1724330143859,""
1134155,15,38,block_1,1,sentence,3,"","","",2,"","",low,"","","","","",1,1724330155201,15,"",1724330152233,""
1134155,16,13,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",1,1724330182875,16,"",1724330179050,""
1134155,17,12,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",0,1724330189760,17,"",1724330185910,""
1134155,18,50,block_1,1,sentence,3,"","","",2,"","",low,"","","","","",1,1724330196394,18,"",1724330193267,""
1134155,19,56,block_1,1,sentence,3,"","","",2,"","",low,"","","","","",1,1724330204299,19,"",1724330199691,""
1134155,20,9,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",0,1724330210621,20,"",1724330206443,""
1134155,21,35,block_1,1,sentence,3,"","","",2,"","",low,"","","","","",1,1724330265066,21,"",1724330260762,""
1134155,22,1,block_1,1,sentence,3,"","","",1,"","",high,"","","","","",1,1724330270985,22,"",1724330268132,""
